Equity Report for 'all included' from 2023.04.30 to 2023.04.30,,,,,,,,,,,
Login,Group,PL Balance,Closed PL,Deposit,Balance,Floating PL,Credit,Equity,Margin,Free Margin,Bank
140058518,CMV3US,0.2,0,0,0.2,0,0,0.2,0,0.2,
140060397,CMV3US,0,0,0,0,0,0,0,0,0,
140062393,CMV3US,72.94,0,0,72.94,0,0,72.94,0,72.94,
140063176,CMV3US,0,0,0,0,0,0,0,0,0,
140064803,CMV3US,114.34,0,0,114.34,0,0,114.34,0,114.34,
140065148,CMV3US,0,0,0,0,0,0,0,0,0,
140066043,CMV3US,37.71,0,0,37.71,31.84,0,69.55,10,59.55,
140066539,CMV3US,1070.07,0,0,1070.07,0,0,1070.07,0,1070.07,
140067450,CMV3US,2.62,0,0,2.62,0,0,2.62,0,2.62,
140069141,CMV3US,265.26,0,0,265.26,0,0,265.26,0,265.26,
140073645,CMV3US,633.87,0,0,633.87,0,0,633.87,0,633.87,
140074257,CMV3US,37,0,0,37,0,0,37,0,37,
140076415,CMV3US,868.04,0,0,868.04,0,0,868.04,0,868.04,
140079934,CMV3US,0,0,0,0,0,0,0,0,0,
140081727,CMV3US,0,0,0,0,0,0,0,0,0,
140082855,CMV3US,119.49,0,0,119.49,0,0,119.49,0,119.49,
140082889,CMV3US,100,0,0,100,0,50,150,0,150,
140083383,CMV3US,6832.81,0,0,6832.81,0,0,6832.81,0,6832.81,
140084627,CMV3US,0,0,0,0,0,0,0,0,0,
140087064,CMV3US,60.33,0,0,60.33,0,0,60.33,0,60.33,
140090798,CMV3US,1.88,0,0,1.88,0,0,1.88,0,1.88,
140091005,CMV3US,0,0,0,0,0,0,0,0,0,
140093561,CMV3US,1675.21,0,0,1675.21,-913.28,0,761.93,453.76,308.17,
140095879,CMV3US,118.67,0,0,118.67,0,0,118.67,0,118.67,
140096059,CMV3US,0,0,0,0,0,0,0,0,0,
140096374,CMV3US,0,0,0,0,0,0,0,0,0,
140099722,CMV3US,55.37,0,0,55.37,0,0,55.37,0,55.37,
140103539,CMV3US,7.89,0,0,7.89,0,0,7.89,0,7.89,
140103776,CMV3US,138.3,0,0,138.3,0,0,138.3,0,138.3,
140104041,CMV3US,0,0,0,0,0,0,0,0,0,
140105975,CMV3US,216.99,0,0,216.99,-29.35,0,187.64,59.96,127.68,
140106299,CMV3US,945.77,0,0,945.77,-606.37,250,589.4,95.84,493.56,
140107624,CMV3US,0,0,0,0,0,0,0,0,0,
140108022,CMV3US,0,0,0,0,0,0,0,0,0,
140109982,CMV3US,80,0,0,80,0,0,80,0,80,
140111043,CMV3US,24.3,0,0,24.3,0,0,24.3,0,24.3,
140112790,CMV3US,90.71,0,0,90.71,0,0,90.71,0,90.71,
140112972,CMV3US,0,0,0,0,0,0,0,0,0,
140113302,CMV3US,0,0,0,0,0,0,0,0,0,
140116906,CMV3US,0,0,0,0,0,0,0,0,0,
140117220,CMV3US,0,0,0,0,0,0,0,0,0,
140119081,CMV3US,34.22,0,0,34.22,0,0,34.22,0,34.22,
140119518,CMV3US,0,0,0,0,0,0,0,0,0,
140125250,CMV3US,0,0,0,0,0,0,0,0,0,
140125362,CMV3US,195.16,0,0,195.16,0,0,195.16,0,195.16,
140126735,CMV3US,156.4,0,0,156.4,0,0,156.4,0,156.4,
140126844,CMV3US,54.3,0,0,54.3,0,0,54.3,0,54.3,
140128292,CMV3US,0,0,0,0,0,0,0,0,0,
140131166,CMV3US,0,0,0,0,0,0,0,0,0,
140134442,CMV3US,0,0,0,0,0,0,0,0,0,
140135575,CMV3US,0,0,0,0,0,0,0,0,0,
140135664,CMV3US,0,0,0,0,0,0,0,0,0,
140136012,CMV3US,106.98,0,0,106.98,17.71,0,124.69,46.12,78.57,
140136061,CMV3US,0,0,0,0,0,0,0,0,0,
140136070,CMV3US,0,0,0,0,0,0,0,0,0,
140136418,CMV3US,50.57,0,0,50.57,0,0,50.57,0,50.57,
140137615,CMV3US,0,0,0,0,0,0,0,0,0,
140138004,CMV3US,1547.21,0,0,1547.21,0,0,1547.21,0,1547.21,
140138336,CMV3US,794.97,0,0,794.97,214.05,0,1009.02,5,1004.02,
140139544,CMV3US,569.45,0,0,569.45,-235.05,0,334.4,6.06,328.34,
140139831,CMV3US,0,0,0,0,0,0,0,0,0,
140140595,CMV3US,1089.33,0,0,1089.33,289.31,0,1378.64,449.16,929.48,
140141020,CMV3US,0,0,0,0,0,0,0,0,0,
140141769,CMV3US,0,0,0,0,0,0,0,0,0,
140142275,CMV3US,278.88,0,0,278.88,24.13,0,303.01,5,298.01,
140146382,CMV3US,0,0,0,0,0,0,0,0,0,
140146463,CMV3US,5562.75,0,0,5562.75,-747.95,2500,7314.8,483.58,6831.22,
140149100,CMV3US,0,0,0,0,0,0,0,0,0,
140150478,CMV3US,211.87,0,0,211.87,0,0,211.87,0,211.87,
140151221,CMV3US,0,0,0,0,0,0,0,0,0,
